bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
7,6,12720000,1244,0,10225,Palm Jumeirah
4,3,1848000,308,1,6000,Arabian Ranches
5,5,1920000,363,0,5289,Al Furjan
3,3,1428000,153,0,9333,City Walk
3,3,636000,143,0,4447,Jumeirah Lake Towers
4,3,1032000,210,0,4914,Palm Jumeirah
1,1,286800,82,0,3497,DAMAC Hills
3,3,1174800,228,0,5152,The Springs
5,4,1836000,445,0,4125,Al Barari
2,1,268800,86,0,3125,Dubai Sports City
3,2,864000,139,0,6215,Dubai Marina
5,5,3720000,534,0,6966,Arabian Ranches
3,3,324000,112,0,2892,Damac Hills 2
7,6,4440000,659,0,6737,Jumeirah Golf Estates
5,4,837600,232,0,3610,Yas Island
5,3,1438800,267,0,5388,Jumeirah Golf Estates
3,3,1080000,228,0,4736,The Springs
4,3,504000,184,0,2739,Dubai South (Dubai World Central)
3,3,720000,176,0,4090,Arabian Ranches 3
5,4,1071384,361,0,2967,Al Reem Island
3,3,1032000,201,1,5134,Jumeirah Beach Residence
4,3,912000,238,0,3831,Dubai Marina
5,5,3120000,527,0,5920,Tilal Al Ghaf
1,0,174000,33,1,5272,Business Bay
4,3,1236000,294,0,4204,Arabian Ranches 2
6,5,1896000,455,0,4167,The Villa
3,2,744000,157,0,4738,The Springs
4,3,1488000,254,0,5858,The Springs
4,4,1560000,180,0,8666,Al Barari
3,2,528000,123,0,4292,Yas Island
4,4,1368000,209,0,6545,The Springs
5,4,2232000,402,0,5552,Jumeirah Park
5,4,12000000,536,0,22388,Palm Jumeirah
7,5,1967988,436,0,4513,Jumeirah Village Triangle
4,3,708000,183,0,3868,Dubai Land
3,3,1800000,329,0,5471,Arabian Ranches
4,3,694944,224,0,3102,DAMAC Hills
5,4,5280000,501,0,10538,Jumeirah Islands
5,4,959976,234,0,4102,Dubai Land
3,2,768000,157,0,4891,The Springs
5,5,2100000,664,0,3162,The Villa
6,5,10080000,622,1,16205,Palm Jumeirah
6,4,3360000,472,0,7118,Dubai Hills Estate
3,4,1199999,228,0,5263,Dubai Hills Estate
5,5,2040000,558,0,3655,The Villa
2,1,331200,103,1,3215,Dubai Marina
4,3,996000,226,0,4407,Palm Jumeirah
3,2,235200,99,1,2375,Rukan
1,1,372000,59,0,6305,Dubai Hills Estate
7,5,1800000,557,1,3231,Al Furjan
2,1,216000,65,0,3323,Jumeirah Village Circle
1,1,312000,45,1,6933,Dubai Hills Estate
3,2,2400000,160,1,15000,Downtown Dubai
1,0,156000,36,0,4333,Jumeirah Village Circle
1,1,120000,45,0,2666,Rukan
3,2,1716000,119,0,14420,Dubai Harbour
4,3,996000,333,0,2990,Dubai Land
2,2,837600,126,1,6647,Downtown Dubai
4,4,858000,216,0,3972,Dubai Land
2,1,213600,72,1,2966,Dubai Studio City
2,2,432000,107,1,4037,Al Furjan
2,2,354000,90,0,3933,Meydan
2,1,528000,79,0,6683,Business Bay
2,2,1008000,163,1,6184,Culture Village
2,2,1080000,206,0,5242,Arabian Ranches
3,4,2100000,315,0,6666,Jumeirah Village Triangle
1,0,213600,72,1,2966,Al Furjan
3,2,432000,135,0,3200,Al Furjan
1,1,636480,75,1,8486,Umm Suqeim
4,4,864000,234,0,3692,Reem
1,0,363600,37,0,9827,Downtown Dubai
1,0,276000,40,0,6900,Business Bay
6,4,5280000,413,1,12784,Dubai Marina
4,3,1272000,156,0,8153,Downtown Dubai
3,4,609600,212,0,2875,Damac Lagoons
3,3,780000,126,0,6190,Dubai Hills Estate
7,7,7920000,1264,1,6265,Dubai Hills Estate
1,1,302400,64,0,4725,DAMAC Hills
5,4,912000,279,0,3268,Mirdif
5,4,5040000,817,1,6168,Jumeirah Islands
7,5,2496000,474,0,5265,Nad Al Sheba
5,4,888000,251,0,3537,Dubai Land
4,3,564000,175,0,3222,Jumeirah Beach Residence
3,2,564000,118,0,4779,Jumeirah Beach Residence
7,6,2879760,598,0,4815,Meydan
4,4,720000,250,0,2880,Dubai Land
2,1,244800,74,0,3308,DAMAC Hills
1,1,168000,70,1,2400,Dubai Sports City
4,3,648000,137,0,4729,Arabian Ranches 3
3,2,1320000,125,0,10560,Al Wasl
4,3,2639999,168,0,15714,Dubai Harbour
3,3,1872000,271,0,6907,Dubai Hills Estate
6,4,1200000,367,0,3269,Al Furjan
2,2,912000,118,0,7728,Umm Suqeim
2,1,139200,67,0,2077,Al Reef
4,4,2327880,473,0,4921,Mohammed Bin Rashid City
4,3,1368000,232,0,5896,The Lakes
1,0,127200,43,1,2958,Rukan
6,6,10080000,1299,0,7759,Dubai Hills Estate
5,4,1020000,273,0,3736,Al Furjan
2,1,468000,76,1,6157,The Views
1,0,105600,36,0,2933,Dubai Land
2,1,516000,74,0,6972,Dubai Design District
2,2,612000,124,0,4935,Dubai Marina
4,4,768000,161,0,4770,Jumeirah Village Circle
7,6,2760000,650,0,4246,The Villa
2,1,840000,77,0,10909,Dubai Harbour
3,2,840000,126,0,6666,Al Wasl
4,3,3816000,299,1,12762,Jumeirah Beach Residence
1,1,624000,79,1,7898,Dubai Harbour
